,property_id,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony,agent_name,agent_phone,agent_email
0,5000,"3647 75 Street Edmonton,  AB T6K 0L5","Excellent South east of Edmonton this clean Bungalaow offers 1273 sq ft 5 bedroom 3 up and 2 down backing directly onto Lee Ridge Park and School. Huge lot over 6500 sqft with ample space between the back of the house to garage . Entrance starts with Front living room and dining right next to it and there you are steps away for the open concept kitchen. Original kitchen with dinette area and patio doors that lead to the spacious East Facing Back yard. Three Bedrooms Upstairs. Master has a 2 piece ensuite and a big window in master bedroom. Main floor offers an other Full washroom.  Basement is fully developed (tons of storage) with large rumpus room and 2 more bedrooms both with windows. Upgrades include: Funace 2016, Hot Water Tank 2019, Shingles on House and Garage 2020. Separate entrance from the back of the home would make creation of an in law suite highly possible. Large Double Detached garage and long driveway for parking extra vehicles, NOT to forget there ia a SEPARATE ENTRANCE to finished basmnt",5,3,1273,409900,Buy,Duplex,underground,in_suite,True,True,53.470075,-113.448936,1973,False,True,False,True,Mir Khan,780-705-5393,Mir_Khan@gmail.com
1,5001,"# 7715 130 Ave Edmonton,  AB T5C 1Y3","Welcome home to this beautiful 4-bedroom, 2-bathroom bungalow in the heart of Balwin, Edmonton! This well-maintained residence features quartz countertops throughout, giving it a touch of modern elegance. The property also boasts a high-efficiency furnace and hot water system installed in 2021, ensuring energy efficiency and comfort.  Additional highlights include new shingles on the garage and newer ones on the house, providing peace of mind and protection for years to come. With its thoughtful updates and practical layout, this single-family home is perfect for families and individuals alike.  Don't miss the chance to own this gem in Balwin. Come and see it today!",5,2,1081,388800,Buy,Duplex,garage,in_suite,True,True,53.589307,-113.458477,1961,False,False,False,False,Jenna Message,780-458-8300,Jenna_Message@gmail.com
2,5002,"14620 59 Street Edmonton,  AB T5A 1Y2","Mcleod Bungalow! Perfect for first time homeowners or investors. facing the park and school in Mcleod, 3  bedroom in main level plus one in the basement, huge living room in main level and family room in the fully finished basement, 2 full bath rooms, oversized double detached garage and long driveway for RV parking. very convenient location, close to all shopping, schools and public transportation. Only minutes from the Henday & Yellowhead, So much potential throughout!",4,2,1046,274900,Buy,Condo Unit,covered,shared,False,True,53.60912,-113.432201,1968,False,True,False,True,Walter Diduck,780-488-4000,Walter_Diduck@gmail.com
3,5003,"14105 47 Avenue Edmonton,  AB T6H 0B8","Gorgeous home in desirable Brookside.  Steps to the ski hill, river valley , Brookside School and easy access to Whitemud Drive, the Anthony Henday, U of A and University hospital. Pride of ownership!! Many upgrades and renovations over time.  Furnace, roof, eaves, windows, hardwood floors, slate and travertine flooring,  kitchen, bathrooms, huge deck, pergola and patio areas.  Home had an addition providing huge FR, kitchen, eating area +++++ with so many windows overlooking south facing PRIVATE mature backyard.  Lot 993.82.  Additional windows added to formal LR,  garden patio door added in formal Dr. to deck. 4 huge bedrooms up, hardwood floors throughout, renovated baths, 2nd fireplace in developed basement, recreation, and game area, extra bedroom and bath..  Double attached, heated garage, shed and greenhouse plus even more...... Beautiful in Brookside!!",5,4,2614,874900,Buy,Duplex,underground,in_suite,True,True,53.484305,-113.564659,1975,False,False,True,False,Sharon Campbell,780-406-4000,Sharon_Campbell@gmail.com
4,5004,"483 Ronning Street Edmonton,  AB T6R 1B6","Meticulously cared for, this family home in the heart of Terwillegar Park Estates is just steps to the river valley pathway system, biking trails, and the Terwillegar dog park. Notice the vaulted ceiling, curved staircase, two fireplaces, gourmet kitchen, and bright sunroom. Fabulous laundry room and 1/2 bath of the oversized 2-car garage with epoxy flooring and ample storage. Room for all the family with 4 bdrms up, a 4 piece bath and 5 pce master ensuite. Dream entertaining space in the lower level with 5th bedroom and 3 pce bath... Even a bonus summer kitchen. Enjoy your large composite deck in the treed backyard, sunny front patio, raised garden beds and roon for your RV in this large lot. Quiet yet conveniently located to all school levels and shopping, with easy access to major arteries. So much to love!",5,4,3035,1150000,Buy,Apartment,covered,in_suite,False,True,53.474549,-113.594578,1989,False,True,False,False,Denis Rowley,780-406-4000,Denis_Rowley@gmail.com
5,5005,"5303 106 Street Edmonton,  AB T6H 2T2","5 bedroom 1050 sq ft bungalow with a fully finished basement. 3 bedrooms up 2 down.  Nice starter or revenue property.  Upgrades include most windows replaced, newer kitchen and back splash, bathroom upgrade, flooring, shingles on the house and garage, interior and exterior doors, deck, garage door, new concrete garage driveway pad. Back door leads to basement and upper level, has potential for basement suite. Large recreation room in basement.  Room for a garden or RV parking. 22'x24' detached garage. Close to buses, parks and schools, shopping, including Southgate Mall and the Whitemud. Great older neighbourhood.",5,2,1058,359000,Buy,Condo Unit,outdoor,in_suite,True,True,53.490009,-113.504206,1960,False,True,True,False,Barry Twynam,780-962-9696,Barry_Twynam@gmail.com
6,5006,"4401 116 Avenue Edmonton,  AB T5W 0X2","ATTENTION FLIPPERS AND DEVELOPERS. 52x120 ft CORNER LOT surrounded by large mature trees and offers desirable SOUTH BACKING EXPOSURES. Home offers ORIGINAL HARDWOOD FLOORS, UPDATED TILE FLOORING, UPDATED BATH, NEWER ASPHALT SHINGLE ROOF, NEWER FURNACE (2016), NEWER HOT WATER TANK, and 100 AMP electrical upgrade as well. OVERSIZED DOUBLE DETACHED GARAGE. Steps from both Beverly Heights Park & Lawton Junior High School. Home is being sold in as-is, where is condition.",2,2,759,239900,Buy,Condo Unit,outdoor,shared,True,True,53.568225,-113.409391,1956,False,False,False,True,Shane Gwilliam,780-429-4168,Shane_Gwilliam@gmail.com
7,5007,"Address Withheld Edmonton,  AB T6R 3G3","This nearly 1200 sqft home is in need of work but located in the beautiful community of Patricia Heights. There is so much potential and some hard work could really pay off! The home is situated on a massive pie lot and there is a double detached garage. The home has 3 bedrooms on the main floor and the primary also has a 3 piece ensuite. A 4 piece main bathroom, large living room, dining room and kitchen complete the main floor of this home.",3,3,1191,309900,Buy,Townhouse,underground,shared,True,True,,,1968,False,True,False,True,Amanda Crow,780-998-7801,Amanda_Crow@gmail.com
8,5008,"814 Lee Ridge Road Edmonton,  AB T6P 0P8","Family Sized Bungalow! Terrific, well maintained home on Lee Ridge Crescent in South Edmonton. This home boasts a total of 2900 Sq Ft of living space. The main floor features a large living room with a corner, brick facing, wood burning fireplace, adjacent is the dining area and kitchen. It has 3 generous bedrooms, a 5-pce family bath & a 3-pce ensuite.. Completed with main floor laundry. The developed basement has a 2nd kitchen, a family room with a 2nd fireplace, 2 additional bedrooms, a 3-pce bath, a storage room & separate utility room. This well maintained home has numerous upgrades. Parking is in the O/S double attached garage with direct access to the house. The home sits on a 7900 sq ft pie shaped, fully fenced lot in a quiet well maintained cul de sac. It is beautifully landscaped, the backyard is a gorgeous private oasis with a large deck & sunroom. Situated in Lee Ridge with great access to public transportation, excellent schools and much more. A great place to call home!",5,3,1517,424900,Buy,Townhouse,underground,shared,False,True,53.473603,-113.440023,1975,False,False,False,True,Doug Singleton,780-431-5600,Doug_Singleton@gmail.com
9,5009,"3471 Cutler Crescent Edmonton,  AB T6W 2B3","Welcome to your dream home in Chappelle! This stunning property boasts a pie lot and an oversized 22x24 double garage, providing ample space for your family's needs. The openness of the main floor welcomes you as you enter, with large windows throughout the home with ample natural light, creating a warm and inviting atmosphere. The kitchen is a chef's delight with granite countertops and an under-mount sink, while the main floor's hardwood floors exude elegance. Stay comfortable year-round with air conditioning, and revel in the professionally developed basement featuring an additional bedroom with a walk-in wrap-around closet and plenty of storage space. For optimal rest, all bedrooms are equipped with blackout blinds. With over 2,200 SF of living space, this clean, well-maintained, and pet/smoke-free home offers the perfect canvas for your personalized touches. Plus, you'll love the convenience of being within walking distance to parks, making outdoor activities a breeze. Your ideal home awaits!",4,4,1596,500000,Buy,Townhouse,outdoor,shared,False,True,53.404657,-113.568792,2013,False,False,False,True,Moe Yassine,780-483-4848,Moe_Yassine@gmail.com
