,property_id,agent_name,primary_phone,primary_email
0,4000,Melanie Brady,780-450-6300,Melanie_Brady@gmail.com
1,4001,Luke Policella,780-720-3423,Luke_Policella@gmail.com
2,4002,Errol Scott,403-262-7653,Errol_Scott@gmail.com
3,4003,Moe Ahmad,780-429-4168,Moe_Ahmad@gmail.com
4,4004,Kawaldeep Gill,780-450-6300,Kawaldeep_Gill@gmail.com
5,4005,Henry Han,780-439-3300,Henry_Han@gmail.com
6,4006,Lorraine Alfonsi,780-438-2500,Lorraine_Alfonsi@gmail.com
7,4007,Jessie Sahota,780-486-8655,Jessie_Sahota@gmail.com
8,4008,Rick Lough,780-481-2950,Rick_Lough@gmail.com
9,4009,Chloe Pleckaitis,780-485-5005,Chloe_Pleckaitis@gmail.com
10,4010,Keith Madsen,780-478-5478,Keith_Madsen@gmail.com
11,4011,Ken Krochmal,780-915-6442,Ken_Krochmal@gmail.com
